stem,split,image_path,mask_path,height,width,fg_ratio,num_present_classes,num_connected_components,present_classes,present_class_names,present_class_groups,has_tail,has_extreme_tail,rare_score,hard_score_gt,difficulty_level,stage1_weight,stage2_weight,aug_policy
00000782,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000782.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000782.png,256,256,0.5803,7,1,"[10, 15, 18, 45, 68, 74, 103]","['bread', 'carrot', 'celery stick', 'ice cream', 'pepper', 'potato', 'background']","['head', 'head', 'medium', 'head', 'medium', 'head', 'background']",False,False,0.2996,2.7394,medium,2.2996,2.5991999999999997,light
00000783,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000783.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000783.png,474,512,0.7812,5,1,"[11, 15, 17, 21, 103]","['broccoli', 'carrot', 'cauliflower', 'chicken duck', 'background']","['head', 'head', 'medium', 'head', 'background']",False,False,0.1967,1.8376000000000001,easy,2.6967,1.7934,none
00000784,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000784.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000784.png,384,512,0.6632,6,1,"[13, 60, 73, 77, 96, 103]","['cake', 'onion', 'pork', 'rape', 'tomato', 'background']","['medium', 'medium', 'medium', 'tail', 'head', 'background']",True,False,0.3561,3.1235999999999997,hard,1.7561,3.7122,rare_crop
00000785,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000785.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000785.png,384,512,0.6609,7,1,"[10, 52, 61, 69, 92, 96, 103]","['bread', 'lettuce', 'orange', 'pie', 'steak', 'tomato', 'background']","['head', 'medium', 'medium', 'medium', 'head', 'head', 'background']",False,False,0.3024,2.5782,medium,2.3024,2.6048,light
00000786,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000786.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000786.png,341,512,0.4577,5,1,"[11, 74, 92, 96, 103]","['broccoli', 'potato', 'steak', 'tomato', 'background']","['head', 'head', 'head', 'head', 'background']",False,False,0.1555,2.4846,medium,2.1555,2.311,light
00000787,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000787.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000787.png,750,1000,0.3998,4,2,"[11, 44, 82, 103]","['broccoli', 'hanamaki baozi', 'sauce', 'background']","['head', 'tail', 'head', 'background']",True,False,0.3129,3.3004,hard,1.7128999999999999,3.6258,rare_crop
00000788,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000788.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000788.png,393,512,0.6545,5,2,"[3, 19, 74, 92, 103]","['asparagus', 'cheese butter', 'potato', 'steak', 'background']","['medium', 'medium', 'head', 'head', 'background']",False,False,0.2259,2.241,easy,2.7259,1.8518,none
00000789,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000789.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000789.png,440,661,0.5173,4,6,"[21, 51, 97, 103]","['chicken duck', 'lemon', 'walnut', 'background']","['head', 'medium', 'tail', 'background']",True,False,0.3925,3.6654,hard,1.7925,3.785,rare_crop
00000790,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000790.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000790.png,384,512,0.5267,5,1,"[23, 35, 51, 57, 103]","['cilantro mint', 'fish', 'lemon', 'noodles', 'background']","['head', 'medium', 'medium', 'medium', 'background']",False,False,0.2499,2.3466,medium,2.2499000000000002,2.4998,light
00000791,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000791.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000791.png,256,256,0.397,6,3,"[11, 21, 46, 74, 82, 103]","['broccoli', 'chicken duck', 'juice', 'potato', 'sauce', 'background']","['head', 'head', 'medium', 'head', 'head', 'background']",False,False,0.2565,3.1559999999999997,hard,1.6564999999999999,3.513,hard_crop
00000792,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000792.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000792.png,423,512,0.4733,5,3,"[10, 20, 45, 49, 103]","['bread', 'cherry', 'ice cream', 'kiwi', 'background']","['head', 'medium', 'head', 'tail', 'background']",True,False,0.3434,3.5534,hard,1.7433999999999998,3.6868,rare_crop
00000793,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000793.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000793.png,411,512,0.4801,5,1,"[10, 41, 45, 73, 103]","['bread', 'grape', 'ice cream', 'pork', 'background']","['head', 'medium', 'head', 'medium', 'background']",False,False,0.2249,2.4398,medium,2.2249,2.4497999999999998,light
00000794,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000794.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000794.png,800,1280,0.4453,5,3,"[21, 61, 62, 82, 103]","['chicken duck', 'orange', 'other ingredients', 'sauce', 'background']","['head', 'medium', 'medium', 'head', 'background']",False,False,0.2447,2.8094,medium,2.2447,2.4894,light
00000795,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000795.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000795.png,384,512,0.381,3,5,"[8, 89, 103]","['biscuit', 'soup', 'background']","['medium', 'medium', 'background']",False,False,0.2147,2.738,medium,2.2147,2.4294000000000002,light
00000796,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000796.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000796.png,384,512,0.5421,3,1,"[9, 93, 103]","['blueberry', 'strawberry', 'background']","['medium', 'medium', 'background']",False,False,0.1416,1.8157999999999999,easy,2.6416,1.6831999999999998,none
00000797,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000797.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000797.png,459,512,0.4861,7,1,"[10, 19, 52, 83, 92, 96, 103]","['bread', 'cheese butter', 'lettuce', 'sausage', 'steak', 'tomato', 'background']","['head', 'medium', 'medium', 'medium', 'head', 'head', 'background']",False,False,0.3158,2.9278,hard,1.7158000000000002,3.6316,hard_crop
00000798,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000798.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000798.png,384,512,0.5152,5,1,"[3, 15, 73, 74, 103]","['asparagus', 'carrot', 'pork', 'potato', 'background']","['medium', 'head', 'medium', 'head', 'background']",False,False,0.2046,2.3696,medium,2.2046,2.4092000000000002,light
00000799,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000799.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000799.png,425,512,0.478,6,1,"[12, 15, 35, 74, 82, 103]","['cabbage', 'carrot', 'fish', 'potato', 'sauce', 'background']","['medium', 'head', 'medium', 'head', 'head', 'background']",False,False,0.2896,2.694,medium,2.2896,2.5792,light
00000800,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000800.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000800.png,307,410,0.533,3,1,"[13, 20, 103]","['cake', 'cherry', 'background']","['medium', 'medium', 'background']",False,False,0.1502,1.8339999999999999,easy,2.6502,1.7004000000000001,none
00000801,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000801.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000801.png,1156,1156,0.0651,4,2,"[10, 23, 89, 103]","['bread', 'cilantro mint', 'soup', 'background']","['head', 'head', 'medium', 'background']",False,False,0.2114,3.1698,hard,1.6114000000000002,3.4228,hard_crop
00000802,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000802.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000802.png,512,512,0.4677,5,2,"[20, 40, 46, 51, 103]","['cherry', 'ginger', 'juice', 'lemon', 'background']","['medium', 'tail', 'medium', 'medium', 'background']",True,False,0.5236,3.4146,hard,1.9236,4.0472,rare_crop
00000803,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000803.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000803.png,1333,1000,0.3245,5,1,"[30, 62, 73, 89, 103]","['egg', 'other ingredients', 'pork', 'soup', 'background']","['medium', 'medium', 'medium', 'medium', 'background']",False,False,0.3448,2.751,medium,2.3448,2.6896,light
00000804,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000804.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000804.png,300,300,0.4187,3,1,"[10, 78, 103]","['bread', 'raspberry', 'background']","['head', 'tail', 'background']",True,False,0.1887,2.8625999999999996,hard,1.5887000000000002,3.3773999999999997,rare_crop
00000805,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000805.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000805.png,204,307,0.2373,3,2,"[13, 24, 103]","['cake', 'coffee', 'background']","['medium', 'medium', 'background']",False,False,0.1626,2.5754,medium,2.1626000000000003,2.3251999999999997,light
00000806,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000806.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000806.png,384,512,0.5246,4,1,"[10, 25, 73, 103]","['bread', 'corn', 'pork', 'background']","['head', 'medium', 'medium', 'background']",False,False,0.1418,2.1008,easy,2.6418,1.6836000000000002,none
00000807,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000807.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000807.png,208,270,0.5262,4,1,"[9, 69, 82, 103]","['blueberry', 'pie', 'sauce', 'background']","['medium', 'medium', 'head', 'background']",False,False,0.1794,2.0976,easy,2.6794000000000002,1.7588,none
00000808,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000808.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000808.png,384,512,0.6476,5,1,"[15, 21, 36, 60, 103]","['carrot', 'chicken duck', 'french beans', 'onion', 'background']","['head', 'head', 'medium', 'medium', 'background']",False,False,0.1998,2.1048,easy,2.6997999999999998,1.7995999999999999,none
00000809,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000809.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000809.png,480,640,0.7803,6,1,"[15, 23, 57, 82, 92, 103]","['carrot', 'cilantro mint', 'noodles', 'sauce', 'steak', 'background']","['head', 'head', 'medium', 'head', 'head', 'background']",False,False,0.2413,2.0894,easy,2.7413,1.8826,none
00000810,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000810.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000810.png,256,256,0.7219,4,1,"[11, 73, 80, 103]","['broccoli', 'pork', 'rice', 'background']","['head', 'medium', 'medium', 'background']",False,False,0.1403,1.7062,easy,2.6403,1.6806,none
00000811,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000811.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000811.png,387,512,0.6176,5,1,"[21, 36, 60, 74, 103]","['chicken duck', 'french beans', 'onion', 'potato', 'background']","['head', 'medium', 'medium', 'head', 'background']",False,False,0.2017,2.1648,easy,2.7016999999999998,1.8034,none
00000812,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000812.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000812.png,256,256,0.7603,7,1,"[10, 52, 60, 92, 95, 96, 103]","['bread', 'lettuce', 'onion', 'steak', 'tofu', 'tomato', 'background']","['head', 'medium', 'medium', 'head', 'extreme_tail', 'head', 'background']",False,True,0.6019,3.5793999999999997,hard,2.0019,5.7038,mix
00000813,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000813.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000813.png,1936,2592,0.3725,6,3,"[36, 56, 64, 73, 94, 103]","['french beans', 'milkshake', 'pasta', 'pork', 'tea', 'background']","['medium', 'medium', 'medium', 'medium', 'tail', 'background']",True,False,0.5998,4.005,hard,1.9998,4.1996,rare_crop
00000814,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000814.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000814.png,256,256,0.4268,7,2,"[15, 18, 23, 27, 82, 96, 103]","['carrot', 'celery stick', 'cilantro mint', 'cucumber', 'sauce', 'tomato', 'background']","['head', 'medium', 'head', 'medium', 'head', 'head', 'background']",False,False,0.2949,3.1963999999999997,hard,1.6949,3.5898,hard_crop
00000815,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000815.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000815.png,2448,3264,0.7006,7,1,"[10, 11, 15, 17, 73, 80, 103]","['bread', 'broccoli', 'carrot', 'cauliflower', 'pork', 'rice', 'background']","['head', 'head', 'head', 'medium', 'medium', 'medium', 'background']",False,False,0.2943,2.4988,medium,2.2943,2.5886,light
00000816,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000816.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000816.png,384,512,0.6353,3,1,"[13, 93, 103]","['cake', 'strawberry', 'background']","['medium', 'medium', 'background']",False,False,0.1164,1.6294,easy,2.6164,1.6328,none
00000817,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000817.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000817.png,1333,1000,0.2373,7,2,"[4, 12, 38, 51, 82, 96, 103]","['avocado', 'cabbage', 'fried meat', 'lemon', 'sauce', 'tomato', 'background']","['tail', 'medium', 'medium', 'medium', 'head', 'head', 'background']",True,False,0.4799,4.3754,hard,1.8799000000000001,3.9598,rare_crop
00000818,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000818.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000818.png,307,410,0.3501,4,1,"[42, 57, 92, 103]","['green beans', 'noodles', 'steak', 'background']","['medium', 'medium', 'head', 'background']",False,False,0.2119,2.4497999999999998,medium,2.2119,2.4238,light
00000819,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000819.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000819.png,273,410,0.2695,4,2,"[21, 69, 82, 103]","['chicken duck', 'pie', 'sauce', 'background']","['head', 'medium', 'head', 'background']",False,False,0.1291,2.761,medium,2.1291,2.2582,light
00000820,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000820.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000820.png,256,256,0.7109,4,1,"[6, 10, 93, 103]","['banana', 'bread', 'strawberry', 'background']","['medium', 'head', 'medium', 'background']",False,False,0.2005,1.7282000000000002,easy,2.7005,1.8010000000000002,none
00000821,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000821.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000821.png,384,512,0.3864,4,1,"[20, 22, 45, 103]","['cherry', 'chocolate', 'ice cream', 'background']","['medium', 'tail', 'head', 'background']",True,False,0.2966,3.1772,hard,1.6966,3.5932,rare_crop
00000822,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000822.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000822.png,1936,1936,0.4273,7,2,"[24, 27, 38, 55, 69, 82, 103]","['coffee', 'cucumber', 'fried meat', 'milk', 'pie', 'sauce', 'background']","['medium', 'medium', 'medium', 'tail', 'medium', 'head', 'background']",True,False,0.533,3.9954,hard,1.9329999999999998,4.066,rare_crop
00000823,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000823.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000823.png,384,512,0.4984,3,1,"[13, 20, 103]","['cake', 'cherry', 'background']","['medium', 'medium', 'background']",False,False,0.1502,1.9032,easy,2.6502,1.7004000000000001,none
00000824,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000824.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000824.png,384,512,0.2682,3,2,"[8, 24, 103]","['biscuit', 'coffee', 'background']","['medium', 'medium', 'background']",False,False,0.1827,2.5136000000000003,medium,2.1827,2.3654,light
00000825,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000825.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000825.png,384,512,0.5929,3,1,"[13, 93, 103]","['cake', 'strawberry', 'background']","['medium', 'medium', 'background']",False,False,0.1164,1.7142,easy,2.6164,1.6328,none
00000826,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000826.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000826.png,384,512,0.728,4,1,"[10, 21, 25, 103]","['bread', 'chicken duck', 'corn', 'background']","['head', 'head', 'medium', 'background']",False,False,0.1284,1.694,easy,2.6284,1.6568,none
00000827,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000827.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000827.png,750,1000,0.5,3,2,"[69, 82, 103]","['pie', 'sauce', 'background']","['medium', 'head', 'background']",False,False,0.0921,2.05,easy,2.5921000000000003,1.5842,none
00000828,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000828.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000828.png,256,256,0.6406,4,1,"[10, 82, 92, 103]","['bread', 'sauce', 'steak', 'background']","['head', 'head', 'head', 'background']",False,False,0.111,1.8688000000000002,easy,2.6109999999999998,1.6219999999999999,none
00000829,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000829.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000829.png,366,512,0.7797,7,1,"[18, 23, 69, 74, 82, 96, 103]","['celery stick', 'cilantro mint', 'pie', 'potato', 'sauce', 'tomato', 'background']","['medium', 'head', 'medium', 'head', 'head', 'head', 'background']",False,False,0.2964,2.3406000000000002,medium,2.2964,2.5928,light
00000830,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000830.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000830.png,364,512,0.4585,4,2,"[10, 30, 77, 103]","['bread', 'egg', 'rape', 'background']","['head', 'medium', 'tail', 'background']",True,False,0.2546,3.183,hard,1.6545999999999998,3.5092,rare_crop
00000831,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000831.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000831.png,341,512,0.778,4,1,"[15, 74, 92, 103]","['carrot', 'potato', 'steak', 'background']","['head', 'head', 'head', 'background']",False,False,0.1133,1.5939999999999999,easy,2.6132999999999997,1.6265999999999998,none
00000832,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000832.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000832.png,256,256,0.3585,4,1,"[22, 45, 93, 103]","['chocolate', 'ice cream', 'strawberry', 'background']","['tail', 'head', 'medium', 'background']",True,False,0.2628,3.2329999999999997,hard,1.6627999999999998,3.5256,rare_crop
